name,crunchlink,category,country,state,city,round,date,year,money,
:Qounter,/organization/-qounter,Application Platforms,USA,DE,Delaware City,seed,2014-03-01,2014,"700,000"
.Club Domains,/organization/club-domains,Software,USA,FL,Oakland Park,B,2013-05-31,2013,"7,000,000"
@Pay,/organization/pay-mobile-checkout,Mobile Payments,USA,NM,Albuquerque,angel,2012-07-01,2012,"3,500,000"
&TV Communications,/organization/tv-communications,Games,USA,CA,Los Angeles,venture,2010-09-23,2010,"3,000,000"
&TV Communications,/organization/tv-communications,Games,USA,CA,Los Angeles,venture,2010-06-04,2010,"1,000,000"
#waywire,/organization/waywire,News,USA,NY,New York,seed,2012-06-30,2012,"1,750,000"
1 Mainstream,/organization/1-mainstream,Distribution,USA,CA,Cupertino,venture,2015-03-17,2015,"5,000,000"
1000 Markets,/organization/1000-markets,Marketplaces,USA,WA,Seattle,seed,2009-05-15,2009,"500,000"
1000memories,/organization/1000memories,Curated Web,USA,CA,San Francisco,A,2011-02-16,2011,"2,520,000"
1000museums.com,/organization/1000museums-com,Curated Web,USA,WA,Bellevue,venture,2009-10-14,2009,"265,940"
1000museums.com,/organization/1000museums-com,Curated Web,USA,WA,Bellevue,venture,2011-04-05,2011,"642,000"
1000museums.com,/organization/1000museums-com,Curated Web,USA,WA,Bellevue,venture,2014-01-15,2014,"2,906,832"
100Plus,/organization/100plus,Analytics,USA,CA,San Francisco,venture,2011-11-02,2011,"500,000"
100Plus,/organization/100plus,Analytics,USA,CA,San Francisco,seed,2011-11-30,2011,"750,000"
1010data,/organization/1010data,Software,USA,NY,New York,venture,2010-03-08,2010,"35,000,000"
10sec,/organization/10sec,Social Commerce,USA,CA,San Francisco,seed,2014-05-08,2014,"1,600,000"
10X Genomics,/organization/10x-genomics,Biotechnology,USA,CA,Pleasanton,B,2015-01-12,2015,"55,000,000"
11i Solutions,/organization/11i-solutions,Enterprise Software,USA,AL,Huntsville,venture,2011-03-22,2011,"1,800,000"
12 Labs,/organization/12-labs,Personal Health,USA,CA,Palo Alto,seed,2014-11-26,2014,"765,000"
