name,crunchlink,category,country,state,city,round,date,year,money
BlueArc,/organization/bluearc,Web Hosting,USA,CA,San Jose,A,1998-01-01,1998,"10,000,000"
GeoCities,/organization/geocities,Web Hosting,USA,CA,Marina Del Rey,D,1998-01-01,1998,"25,000,000"
MindEdge,/organization/mindedge,Education,USA,MA,Waltham,seed,1998-01-01,1998,"200,000"
Next Jump,/organization/next-jump,Human Resources,USA,NY,New York,venture,1998-01-01,1998,"5,000,000"
On The Net Yet,/organization/on-the-net-yet,Curated Web,USA,NV,Las Vegas,seed,1998-01-01,1998,"100,000"
PowerDsine,/organization/powerdsine,VoIP,USA,CA,Aliso Viejo,B,1998-01-01,1998,"3,600,000"
Priceline,/organization/priceline,Transportation,USA,CT,Norwalk,seed,1998-02-01,1998,"1,986,990"
E Ink,/organization/eink,Hardware + Software,USA,MA,Cambridge,B,1998-05-01,1998,"15,800,000"
Priceline,/organization/priceline,Transportation,USA,CT,Norwalk,A,1998-07-01,1998,"20,000,000"
Google,/organization/google,Search,USA,CA,Mountain View,angel,1998-08-01,1998,"100,000"
PowerDsine,/organization/powerdsine,VoIP,USA,CA,Aliso Viejo,C,1998-09-01,1998,"6,000,000"
Priceline,/organization/priceline,Transportation,USA,CT,Norwalk,B,1998-12-01,1998,"55,350,000"
Answers Corporation,/organization/answers-corporation,Information Technology,USA,MO,Saint Louis,A,1999-01-01,1999,"300,000"
Aperto Networks,/organization/aperto-networks,Mobile,USA,CA,Milpitas,A,1999-01-01,1999,"7,000,000"
e-Rewards,/organization/e-rewards,E-Commerce,USA,TX,Plano,venture,1999-01-01,1999,"15,000,000"
Enkia,/organization/enkia,Software,USA,GA,Atlanta,angel,1999-01-01,1999,"200,000"
IronPlanet,/organization/ironplanet,E-Commerce,USA,CA,Pleasanton,seed,1999-01-01,1999,"3,072,680"
Ironwood Pharmaceuticals,/organization/ironwood-pharmaceuticals,Health Care,USA,MA,Cambridge,A,1999-01-01,1999,"10,000,000"
Next Jump,/organization/next-jump,Human Resources,USA,NY,New York,venture,1999-01-01,1999,"15,000,000"
Ask.com,/organization/ask-com,Social Media,USA,CA,Oakland,A,1999-03-01,1999,"25,000,000"
Hipbone,/organization/hipbone,Software,USA,CA,San Carlos,angel,1999-03-01,1999,"750,000"
iPrint,/organization/iprint,E-Commerce,USA,CA,Redwood City,B,1999-03-01,1999,"7,500,000"
Answers Corporation,/organization/answers-corporation,Information Technology,USA,MO,Saint Louis,B,1999-04-01,1999,"1,360,000"
Cooking.com,/organization/cooking-com,Recipes,USA,CA,Marina Del Rey,B,1999-04-01,1999,"16,000,000"
Intransa,/organization/intransa,Internet,USA,CA,San Jose,venture,1999-04-01,1999,"3,100,048"
OpenTable,/organization/opentable,Hospitality,USA,CA,San Francisco,A,1999-05-01,1999,"2,000,000"
Google,/organization/google,Search,USA,CA,Mountain View,A,1999-06-01,1999,"25,000,000"
PayPal,/organization/paypal,P2P Money Transfer,USA,CA,San Jose,venture,1999-07-01,1999,"3,000,000"
PayPal,/organization/paypal,P2P Money Transfer,USA,CA,San Jose,B,1999-07-01,1999,"4,000,000"
BIGWORDS.com,/organization/bigwords-com,Curated Web,USA,MD,Annapolis,venture,1999-08-01,1999,"80,000,000"
ConjuChem,/organization/conjuchem-biotechnologies,Biotechnology,USA,CA,Los Angeles,B,1999-08-01,1999,"8,500,000"
Dynamics Direct,/organization/dynamics-direct,Email,USA,CA,Valencia,A,1999-08-01,1999,"5,500,000"
Mobile Automation,/organization/mobile-automation-2,Enterprise Software,USA,CA,Westlake Village,B,1999-08-01,1999,"2,500,000"
MTM Laboratories,/organization/mtm-laboratories,Biotechnology,USA,AZ,Tucson,A,1999-08-01,1999,"1,672,640"
ACTIVE Network,/organization/activenetwork,Software,USA,TX,Dallas,A,1999-09-01,1999,"200,000"
Ancestry,/organization/ancestry-com,E-Commerce,USA,UT,Provo,B,1999-09-01,1999,"33,200,000"
Answers Corporation,/organization/answers-corporation,Information Technology,USA,MO,Saint Louis,C,1999-09-01,1999,"2,750,000"
EnergyHub,/organization/energyhub,Clean Technology,USA,NY,Brooklyn,venture,1999-09-01,1999,"15,352,300"
ITIS Holdings,/organization/itis-holdings,Software,USA,CT,Cheshire,A,1999-09-01,1999,"5,708,053"
Affinity,/organization/affinity-com,Advertising,USA,IL,Illinois City,venture,1999-10-01,1999,"60,000,000"
Athenahealth,/organization/athenahealth,Enterprise Software,USA,MA,Watertown,A,1999-10-01,1999,"10,000,000"
Cooking.com,/organization/cooking-com,Recipes,USA,CA,Marina Del Rey,C,1999-10-01,1999,"30,000,000"
GCT Semiconductor,/organization/gct-semiconductor,Semiconductors,USA,CA,San Jose,A,1999-10-01,1999,"1,400,000"
IdeaForest,/organization/ideaforest,Web Browsers,USA,CA,El Segundo,A,1999-10-01,1999,"7,000,000"
iPrint,/organization/iprint,E-Commerce,USA,CA,Redwood City,C,1999-10-01,1999,"20,000,000"
2Wire,/organization/2wire,Curated Web,USA,CA,San Jose,B,1999-11-01,1999,"20,000,000"
Adomo,/organization/adomo,Messaging,USA,CA,Cupertino,A,1999-11-01,1999,"7,000,000"
Opsware,/organization/opsware,Software,USA,CA,Sunnyvale,A,1999-11-01,1999,"21,000,000"
ACTIVE Network,/organization/activenetwork,Software,USA,TX,Dallas,B,1999-12-01,1999,"15,500,000"
bigclix.com,/organization/bigclix-com,Real Estate,USA,GA,Atlanta,seed,1999-12-01,1999,"250,000"
Goldpocket Interactive,/organization/goldpocket-interactive,Software,USA,CA,Los Angeles,A,1999-12-01,1999,"8,000,000"
Luxim,/organization/luxim,Hardware + Software,USA,CA,Santa Clara,venture,1999-12-01,1999,"22,230,135"
Anystream,/organization/anystream,Software,USA,VA,Dulles,venture,2000-01-01,2000,"44,000,000"
ArcSight,/organization/arcsight-inc,Security,USA,CA,Palo Alto,A,2000-01-01,2000,"14,439,000"
AtriCure,/organization/atricure,Medical Devices,USA,OH,West Chester,venture,2000-01-01,2000,"5,000,000"
